org.apache.http.impl.auth.SPNegoScheme, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.impl.auth.NTLMEngine, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.impl.auth.UnsupportedDigestAlgorithmException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.impl.auth.AuthSchemeBase, @stereotype ENTITY@stereotype ENTITY
org.apache.http.impl.auth.KerberosScheme, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.impl.auth.NTLMEngineImpl, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.impl.auth.KerberosSchemeFactory, @stereotype @stereotype 
org.apache.http.impl.auth.GGSSchemeBase, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.impl.auth.HttpAuthenticator, @stereotype BOUNDARY COMMANDER@stereotype BOUNDARY COMMANDER
org.apache.http.impl.auth.BasicScheme, @stereotype ENTITY@stereotype ENTITY
org.apache.http.impl.auth.NTLMSchemeFactory, @stereotype FACTORY@stereotype FACTORY
org.apache.http.impl.auth.DigestScheme, @stereotype ENTITY@stereotype ENTITY
org.apache.http.impl.auth.DigestSchemeFactory, @stereotype FACTORY@stereotype FACTORY
org.apache.http.impl.auth.RFC2617Scheme, @stereotype ENTITY@stereotype ENTITY
org.apache.http.impl.auth.HttpEntityDigester, @stereotype MINIMAL_ENTITY@stereotype MINIMAL_ENTITY
org.apache.http.impl.client.CookieSpecRegistries, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.impl.client.SystemDefaultCredentialsProvider, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.impl.client.EntityEnclosingRequestWrapper, @stereotype @stereotype 
org.apache.http.impl.client.DefaultUserTokenHandler, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.impl.client.SystemClock, @stereotype PURE_CONTROLLER@stereotype PURE_CONTROLLER
org.apache.http.impl.client.MinimalHttpClient, @stereotype @stereotype 
